1, VC2, [(1723000, 200)], []
8304, VC6, [(1929500, 25), (1915000, 1000), (1910300, 52), (1903000, 22), (1902000, 200)], [(289900, 130), (290000, 863), (290000, 500), (290000, 7452), (290000, 30)]
8305, VC3, [(1929500, 25), (1915000, 1000), (1910300, 52), (1903000, 22), (1902000, 200)], [(289900, 130), (290000, 863), (290000, 500), (290000, 7452), (290000, 30)]
8316, VC8, [(1929500, 25), (1915000, 1000), (1910300, 52), (1903000, 22), (1902000, 200)], [(289900, 130), (290000, 863), (290000, 500), (290000, 7452), (290000, 30)]
8330, VC2, [(1929500, 25), (1915000, 1000), (1910300, 52), (1903000, 22), (1902000, 200)], [(289900, 130), (290000, 863), (290000, 500), (290000, 7452), (290000, 30)]
8417, VC6, [(1929500, 25), (1915000, 1000), (1910300, 52), (1903000, 22), (1902000, 200)], [(289800, 40), (289900, 130), (290000, 863), (290000, 500), (290000, 7452)]
8418, VC2, [(1929500, 25), (1915000, 1000), (1910300, 52), (1903000, 22), (1902000, 200)], [(289800, 40), (289900, 130), (290000, 863), (290000, 500), (290000, 7452)]
8419, VC7, [(1929500, 25), (1915000, 1000), (1910300, 52), (1903000, 22), (1902000, 200)], [(289800, 40), (289900, 130), (290000, 863), (290000, 500), (290000, 7452)]
8423, VC0, [(1929500, 25), (1915000, 1000), (1910300, 52), (1903000, 22), (1902000, 200)], [(289800, 40), (289900, 130), (290000, 863), (290000, 500), (290000, 7452)]
8425, VC4, [(1929900, 30), (1929500, 25), (1915000, 1000), (1910300, 52), (1903000, 22)], [(289800, 40), (289900, 130), (290000, 863), (290000, 500), (290000, 7452)]
8426, VC3, [(1929900, 30), (1929500, 25), (1915000, 1000), (1910300, 52), (1903000, 22)], [(289800, 40), (289900, 130), (290000, 863), (290000, 500), (290000, 7452)]
8427, VC5, [(1929900, 30), (1929500, 25), (1915000, 1000), (1910300, 52), (1903000, 22)], [(289800, 40), (289900, 130), (290000, 863), (290000, 500), (290000, 7452)]
8430, VC6, [(1929900, 30), (1929500, 25), (1915000, 1000), (1910300, 52), (1903000, 22)], [(289800, 40), (289900, 130), (290000, 863), (290000, 500), (290000, 7452)]
8433, VC0, [(1929900, 30), (1929500, 25), (1915000, 1000), (1910300, 52), (1903000, 22)], [(289800, 40), (289900, 130), (290000, 863), (290000, 500), (290000, 7452)]
8435, VC7, [(1929900, 30), (1929500, 25), (1915000, 1000), (1910300, 52), (1903000, 22)], [(289800, 40), (289900, 130), (290000, 863), (290000, 500), (290000, 7452)]
8436, VC4, [(1930000, 40), (1929900, 30), (1929500, 25), (1915000, 1000), (1910300, 52)], [(289800, 40), (289900, 130), (290000, 863), (290000, 500), (290000, 7452)]
8437, VC8, [(1930000, 40), (1929900, 30), (1929500, 25), (1915000, 1000), (1910300, 52)], [(289800, 40), (289900, 130), (290000, 863), (290000, 500), (290000, 7452)]
8438, VC2, [(1930000, 40), (1929900, 30), (1929500, 25), (1915000, 1000), (1910300, 52)], [(289800, 40), (289900, 130), (290000, 863), (290000, 500), (290000, 7452)]
8439, VC5, [(1930000, 40), (1929900, 30), (1929500, 25), (1915000, 1000), (1910300, 52)], [(289800, 40), (289900, 130), (290000, 863), (290000, 500), (290000, 7452)]
8440, VC3, [(1930000, 40), (1929900, 30), (1929500, 25), (1915000, 1000), (1910300, 52)], [(289800, 40), (289900, 130), (290000, 863), (290000, 500), (290000, 7452)]
